"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"1",182.990005,187.770004,181.919998,186.600006,1744800,176.346298
"2",186.520004,186.690002,183.940002,184.169998,1405600,174.04982
"3",185.199997,186.949997,183.649994,185.699997,1236900,175.495743
"4",186.429993,188.429993,184.580002,185.070007,1140500,174.900391
"5",183.940002,184.809998,181.059998,182.600006,1219100,172.566071
"6",183.289993,183.289993,180.240005,181.270004,1386900,171.309189
"7",182.350006,184.330002,179.820007,182.889999,1493900,172.840149
"8",184.25,184.630005,181.529999,182.559998,1060900,172.528305
"9",181.460007,182.839996,180.550003,181.970001,900400,171.970734
"10",182.600006,183.399994,180,181.020004,1202800,171.072906
"11",179.820007,184.179993,179.589996,183.009995,1643900,172.953568
"12",183,186.330002,183,183.949997,1298300,173.841904
"13",186.240005,187.740005,184.440002,184.970001,1289400,174.805847
"14",183.600006,185.139999,181.160004,182.899994,1345100,172.849609
"15",183.009995,183.979996,180.350006,180.75,1830900,170.817734
"16",180.350006,181.910004,179.850006,180.270004,1430900,170.36412
"17",180.839996,183.729996,180.509995,182.229996,1217300,172.2164
"18",181.169998,182.110001,180.449997,181.460007,1132500,171.488724
"19",181.100006,181.110001,178,178.800003,1393900,168.974884
"20",179.259995,180.300003,177.740005,180.229996,1158600,170.326309
"21",181.460007,181.779999,177.970001,180.660004,1480500,170.732681
"22",180.660004,183.490005,178.139999,183.460007,1570600,173.37883
"23",182.820007,185.880005,182.429993,183.839996,1356600,173.73793
"24",184.610001,185.720001,180,181.080002,2026200,171.129608
"25",179.880005,181.070007,174.100006,174.949997,2141500,165.336487
"26",175.179993,183.679993,168.130005,181.679993,4655500,171.69664
"27",181.679993,193.360001,181.679993,191.589996,3825500,181.062073
"28",193.619995,195,192.330002,194.460007,2982700,183.774368
"29",193.830002,197.770004,193.050003,197.039993,2506900,186.212601
"30",197.300003,199.830002,194.470001,198.899994,1922700,187.970428
"31",198.410004,199.399994,196.309998,197.720001,2306400,186.855225
"32",197.970001,198.649994,192.899994,193.210007,1946000,182.593063
"33",191.300003,195.410004,191.300003,192,1569400,181.449554
"34",194.389999,196.910004,193.5,193.660004,2031500,183.018356
"35",192.289993,194.309998,187.710007,188.130005,2131900,177.792206
"36",191,191.020004,184.300003,184.940002,2588700,174.777481
"37",183.949997,186.759995,182.949997,185.360001,1932500,175.174423
"38",187.130005,187.889999,185.449997,186.720001,1974500,176.459686
"39",185.869995,186.410004,184.149994,185.970001,1528900,175.7509
"40",188.5,194.080002,187.929993,193.520004,2216700,182.886017
"41",191.559998,193.5,190.889999,191.169998,1433800,180.665161
"42",190.779999,194.570007,190.630005,194.179993,1797200,183.509766
"43",194.350006,194.740005,192.360001,194.009995,1311400,183.349091
"44",194.309998,196,192.910004,193.940002,1515900,183.282959
"45",192.990005,194.309998,183.699997,184.25,2726600,174.125443
"46",182.570007,188.089996,181.669998,187.75,3143200,177.433075
"47",188.630005,189.369995,183.679993,184.720001,2339600,174.56958
"48",185,185.830002,183.619995,184.410004,1096700,174.276611
"49",182.119995,182.210007,177,179.309998,3869200,169.456879
"50",181.110001,185.110001,178.210007,184.139999,2353100,174.021469
"51",184.300003,184.970001,181.720001,183.360001,1344800,173.284332
"52",184.970001,186.229996,184.509995,184.789993,1858000,174.635742
"53",183.149994,184.630005,181.610001,183.990005,1441800,173.879715
"54",185.330002,186.389999,181.710007,182.300003,1716300,172.282562
"55",181.820007,183.669998,180.339996,182.330002,1195000,172.310944
"56",182.089996,184.089996,181.139999,181.550003,1016200,171.573807
"57",182.149994,182.339996,180.339996,180.910004,1022900,170.968964
"58",178.470001,181.059998,178.039993,180.399994,1296500,170.486984
"59",180.5,185.919998,180.100006,185.369995,2078200,175.183884
"60",185.5,189.229996,184.289993,188.320007,1118600,178.010193
"61",189.5,189.910004,182.039993,182.479996,8114200,172.489914
"62",183.190002,186.830002,183,186.229996,2605000,176.034592
"63",186.149994,186.729996,183.089996,185.479996,1943300,175.325653
"64",186.600006,187.880005,184.380005,187.809998,1104300,177.528107
"65",189.429993,192.339996,187.520004,188.300003,3121000,177.991257
"66",188.830002,190.960007,187.910004,190.440002,1330400,180.014114
"67",190.520004,192.029999,189.320007,189.830002,1089800,179.437531
"68",190.520004,192.929993,190,190.339996,1509300,179.919601
"69",190.649994,190.869995,187.809998,189.949997,1075300,179.550903
"70",189.979996,191.029999,186.179993,186.899994,1446600,176.667938
"71",186.720001,187.520004,181.229996,182.059998,1374400,172.092911
"72",182.509995,183.270004,181.009995,183.009995,1330100,172.990891
"73",181.360001,183.630005,179.149994,180.630005,1406300,170.74115
"74",180.720001,181.339996,173.809998,175.059998,1980500,165.47612
"75",175.550003,176.570007,174.169998,174.440002,1664100,164.890076
"76",173.970001,175.800003,172,174.630005,1750300,165.069656
"77",176.630005,176.660004,173.710007,175.720001,1534200,166.099976
"78",177.229996,179.100006,175.869995,178.350006,1734500,168.585999
"79",176.690002,180,176.259995,176.910004,1133200,167.224823
"80",175.210007,176.070007,170.589996,172.360001,2579300,162.92395
"81",173.190002,174.539993,171.419998,172.990005,1874800,163.519455
"82",173.339996,173.720001,171.160004,172.429993,1672800,162.990082
"83",172.669998,173.479996,168.710007,170.440002,1599800,161.109055
"84",170.050003,172.630005,169.490005,170.809998,2625800,161.458801
"85",165.529999,168,162.330002,165.630005,3850400,156.562393
"86",166.320007,170.350006,165.770004,169.610001,2424700,160.324478
"87",169.619995,173.039993,169.179993,172.460007,2231600,163.018448
"88",172.339996,172.869995,168.910004,169.479996,1135700,160.201614
"89",170.5,173.029999,169.419998,171.270004,1538500,161.893631
"90",172.690002,172.899994,170.509995,171.259995,1455500,161.884171
"91",170.850006,172.720001,170.009995,171.639999,1305600,162.243347
"92",175.110001,175.660004,173.300003,173.850006,1713800,164.332352
"93",174.350006,175.529999,173.490005,174.789993,1869000,165.220886
"94",174.789993,175.550003,172.550003,173.240005,1788400,163.755753
"95",172.210007,173.960007,171.220001,172.75,1586900,163.292572
"96",173.710007,177.860001,172.990005,176.619995,1960200,166.950699
"97",177.669998,177.669998,173.050003,173.559998,1228200,164.058243
"98",173,174.149994,171.520004,173.740005,1207500,164.228363
"99",173.899994,174.690002,172.279999,173.660004,1200100,164.152786
"100",172.550003,174.970001,167.110001,168.619995,1613000,159.388687
"101",169.179993,170.580002,168.080002,170.240005,1109600,160.920029
"102",168.809998,169.020004,165,165.080002,1627300,156.04248
"103",163.600006,167.110001,162.539993,166.860001,2305700,157.725037
"104",167.479996,168.630005,165.649994,166.970001,1303400,157.829025
"105",165.660004,166.660004,163.520004,164.880005,1605000,155.853424
"106",164.419998,166.100006,163.800003,165.509995,1148900,156.448975
"107",164.809998,168.949997,164.279999,168.710007,1565200,159.47377
"108",167.789993,168.919998,164,164.960007,2019300,155.929077
"109",164.960007,166.429993,163.130005,163.429993,1636000,154.482819
"110",164.059998,169.710007,163.929993,169.449997,1626000,160.173264
"111",171.149994,172.399994,167.809998,167.809998,1998400,158.623032
"112",167.850006,169.440002,166.520004,168.75,1552200,159.511566
"113",167.490005,167.570007,161.630005,164.860001,2466700,155.834518
"114",164.179993,164.419998,156.309998,158.020004,2998700,149.368988
"115",158.639999,159.070007,155.830002,158.789993,2575900,150.096832
"116",158.899994,161.130005,158.199997,158.789993,1686900,150.096832
"117",155.710007,158.470001,153.419998,157.880005,1998600,149.236649
"118",157.570007,160.029999,153.699997,155.029999,1868000,146.542664
"119",155.279999,158.25,154.070007,154.75,1586300,146.27803
"120",154.720001,156.630005,154.440002,155.929993,1836200,147.393387
"121",156.850006,156.910004,154.100006,155.210007,1172500,146.71283
"122",156.149994,156.899994,153.979996,154.270004,1699800,145.82431
"123",154.490005,156.949997,153.5,155.660004,2257300,147.138214
"124",156.25,159.509995,155.720001,158.470001,2183700,149.794357
"125",159.440002,160.869995,157.949997,159.580002,1500900,150.843582
"126",160.399994,163.460007,158.779999,162.770004,961500,153.858948
"127",161.5,161.970001,158.039993,159.410004,1305300,150.682907
"128",159.679993,160.800003,156.419998,156.990005,1371700,148.39537
"129",155.979996,156.580002,153.100006,156.029999,1104100,147.487946
"130",155.570007,158.869995,155.220001,158.470001,892800,149.794357
"131",158.479996,160.839996,156.850006,160.380005,1447200,151.599792
"132",162.190002,163.440002,159.380005,160.110001,1479300,151.344543
"133",159.970001,161.960007,159.399994,160.649994,943800,151.855011
"134",160.869995,162.449997,160.520004,160.940002,670500,152.12915
"135",160.270004,162.960007,160.25,162.830002,1191900,153.91568
"136",164,164,159.899994,161.5,966200,152.658493
"137",160.990005,164.360001,160.990005,163.940002,1669100,154.96489
"138",164.839996,166.289993,163.059998,163.279999,1522100,154.341064
"139",163.070007,163.869995,159.979996,160.210007,1359400,151.439102
"140",160.669998,162,159.869995,160.100006,1082900,151.335144
"141",162.869995,165,162.179993,162.600006,1444900,153.698257
"142",163.440002,165.470001,162.380005,162.600006,1083000,153.698257
"143",162.380005,163.949997,161.5,163.899994,1224600,154.927094
"144",163.899994,166.059998,161.229996,161.410004,1663100,152.57341
"145",160.779999,164.509995,160.259995,163.100006,1450400,154.170883
"146",163.289993,164.75,161.889999,163.270004,1429500,154.331589
"147",163.270004,163.270004,137.300003,145.679993,12787200,137.704559
"148",145.720001,146.110001,134.679993,135.119995,6881400,127.722694
"149",135,135.520004,130.380005,135.339996,7267400,127.930641
"150",134.399994,134.960007,128.5,129.639999,3842000,122.542709
"151",130.380005,136.059998,129.25,135.380005,5585500,127.96846
"152",135.699997,137.639999,134.850006,137.550003,3992800,130.019623
"153",137.550003,138.190002,134.710007,135.259995,2191100,127.855049
"154",134.600006,136.130005,133.509995,134.020004,1500100,126.682892
"155",134.070007,134.5,132.589996,132.839996,1403600,125.567497
"156",133.309998,134.229996,132,133.699997,1770900,126.380424
"157",134.149994,134.929993,130.610001,131.630005,1488700,124.423737
"158",131.220001,132.839996,131.139999,131.270004,1615400,124.083458
"159",131.360001,133.199997,130.550003,131.949997,1271000,124.726204
"160",131.5,132.139999,127.839996,127.940002,2213400,120.935768
"161",128.110001,129.729996,127.440002,128.059998,1861000,121.049187
"162",128.119995,130.860001,127.970001,129.710007,1284400,122.608879
"163",129.320007,129.520004,127.68,128.410004,970400,121.380035
"164",129,129.910004,127.559998,129.199997,1266800,122.12677
"165",128.919998,129.130005,125.93,128.460007,1525700,121.427299
"166",127.080002,128.160004,125.459999,127.959999,1677900,120.954674
"167",127.629997,130.169998,126.5,128.800003,1366300,121.74868
"168",129.820007,130.690002,128.509995,129.649994,1296700,122.552116
"169",130,131.75,128.699997,130.639999,1204600,123.487938
"170",131.669998,133.070007,130.119995,131.130005,1152100,123.951134
"171",132.440002,134.100006,131.770004,133.080002,1648700,125.794365
"172",132.789993,133.039993,130.889999,131.779999,1258100,124.565552
"173",131.369995,131.429993,127.260002,128.5,1870000,121.465103
"174",128.979996,130.740005,127.959999,129.690002,1489800,122.589966
"175",129.690002,131.360001,129.350006,129.919998,1227100,122.807365
"176",130.440002,136.009995,130.440002,135.509995,2359000,128.091324
"177",136.520004,138.259995,136.110001,136.929993,2761400,129.433578
"178",137.080002,137.350006,135.490005,136.929993,2246900,129.433578
"179",135.869995,137.360001,135.309998,137,1217500,129.499756
"180",137.130005,137.490005,136.210007,137.089996,1032100,129.584854
"181",137.5,141.429993,137.5,141.270004,2025300,133.536011
"182",141.050003,142.380005,140.229996,142.009995,2056100,134.235504
"183",141.210007,144.139999,141.149994,144.009995,1546200,136.125977
"184",144.660004,147.169998,144.660004,146.660004,3300900,138.630905
"185",145.830002,148.240005,144.919998,147.580002,1714400,139.500549
"186",148.279999,149.619995,146.880005,149.580002,2514000,141.391083
"187",149.550003,150.669998,146.789993,147.550003,1425200,139.509506
"188",146.970001,148.059998,145.199997,147.539993,1290700,139.500031
"189",145.690002,151.320007,144.5,151.289993,2023700,143.045685
"190",151,154.169998,150.210007,153.009995,2246700,144.671967
"191",152.509995,153.289993,150.570007,151.759995,1875900,143.490067
"192",152.100006,152.889999,150.279999,151.160004,1338100,142.922791
"193",149.889999,150.729996,149.110001,150.470001,1215600,142.270355
"194",150.669998,151.440002,149.580002,150.960007,946100,142.733658
"195",152.25,152.770004,150.270004,150.669998,2014600,142.459442
"196",150.660004,150.690002,147.919998,149.009995,1681000,140.889938
"197",147.669998,149.789993,145.949997,146.240005,2473100,138.270889
"198",147.710007,147.899994,143.75,143.919998,2272700,136.077316
"199",145.089996,145.649994,142.880005,143.690002,1906200,135.859848
"200",143.699997,145.529999,142.360001,145.350006,1525700,137.429398
"201",145.75,147.630005,144.839996,145.089996,1363300,137.183533
"202",143.339996,146.009995,142.529999,142.979996,1365600,135.188507
"203",143.690002,145.759995,142.960007,144.75,2176800,136.862076
"204",145.690002,145.690002,143.860001,143.929993,1901700,136.086761
"205",144.429993,145.320007,142.710007,143.220001,1402100,135.415451
"206",142.320007,143.429993,140.309998,142.160004,1469800,134.413239
"207",142.5,143.570007,141.350006,142.309998,1421700,134.555023
"208",141.979996,146.440002,140.649994,145.380005,1259700,137.457748
"209",145.520004,147.100006,145.210007,146.259995,1598100,138.289795
"210",146.619995,150.539993,146.509995,149.669998,2810200,141.513977
"211",150.919998,155.25,150.669998,153.970001,2663000,145.579636
"212",153.539993,154.860001,144.130005,147.800003,3416400,139.745865
"213",147.520004,152.25,147.270004,150.289993,2152000,142.100174
"214",151.320007,158.979996,151,158.800003,3066900,150.146469
"215",159.5,161.910004,157.369995,161.669998,3331800,152.860031
"216",160.809998,162.520004,158.899994,159.570007,1955200,150.874496
"217",158.660004,161.800003,158.350006,161.139999,2136200,152.358932
"218",160.570007,161.539993,158.240005,158.929993,1394600,150.269348
"219",158.820007,159.839996,156.380005,156.919998,1266400,148.368896
"220",156.399994,156.679993,152.389999,152.809998,1859800,144.482864
"221",151.300003,151.979996,148.100006,151.509995,1660700,143.253693
"222",151.589996,152.229996,149.830002,151.039993,955500,142.809311
"223",151.429993,153.289993,150.940002,152.220001,952600,143.925018
"224",151.860001,152.320007,150.610001,151.509995,1030200,143.253693
"225",152.589996,153.339996,151.380005,152.229996,1043300,143.934433
"226",153.550003,155.419998,152.720001,154.080002,1044200,145.683655
"227",155.320007,155.869995,154.100006,154.100006,372900,145.702591
"228",153.600006,153.600006,148.990005,150.580002,1379600,142.374374
"229",150.770004,151.610001,149.529999,151.089996,899200,142.856598
"230",151.520004,153.330002,149.509995,151.160004,917200,142.922791
"231",152.679993,156.820007,151.809998,156.039993,1915700,147.53688
"232",157.240005,160.210007,156.089996,157.160004,1635000,148.59581
"233",156.520004,158.75,155.770004,156.350006,1523900,147.829956
"234",156.369995,157.190002,153.259995,153.860001,1395800,145.475632
"235",153.399994,153.910004,150.039993,150.660004,1077900,142.450027
"236",150.630005,154.509995,150.199997,154.25,1302500,145.844391
"237",155.399994,156.779999,154.710007,155.899994,1165500,147.404465
"238",155.949997,159.809998,155.949997,158.669998,1766100,150.023514
"239",159.160004,160,156.820007,158.990005,1248000,150.32608
"240",159.089996,159.690002,156.119995,157.059998,947100,148.501266
"241",156.75,158.619995,156.539993,156.580002,895500,148.047409
"242",157.679993,157.990005,155.470001,155.830002,1781500,147.338303
"243",156.289993,160.410004,155.550003,159.309998,1559500,150.628647
"244",160.279999,161,158.800003,160.199997,1318100,151.470154
"245",161,167.330002,159.259995,167.199997,1858500,158.088715
"246",167.199997,169.449997,165.679993,168.820007,1376500,159.620422
"247",169.369995,173.720001,168.619995,171.119995,1461700,161.795059
"248",171.75,174.589996,170.520004,173.990005,1406500,164.508698
"249",174.119995,174.240005,171.490005,172.440002,927500,163.043167
"250",172.5,173.190002,171.169998,172.580002,730500,163.175491
"251",173.460007,174.110001,171.770004,172.850006,1587000,163.430832
"252",174.300003,175.449997,172.289993,172.919998,1777800,163.496979
"253",174.360001,178.199997,173.149994,176.339996,3288600,166.730637
"254",176.860001,177.910004,174.910004,177.270004,1552400,167.609955
"255",176.389999,176.880005,174.889999,176.509995,1195100,166.891357
"256",176.130005,179.279999,176.130005,178.529999,1595700,168.801315
"257",178.880005,179.850006,177.75,177.949997,1371800,168.252838
"258",178.460007,180.360001,177.759995,178.699997,1414800,168.962021
"259",179.580002,187.539993,178.669998,184.169998,2671800,174.133942
"260",184.020004,187.179993,183.059998,186.149994,1357100,176.006042
"261",186.5,186.789993,182.449997,182.509995,1652800,172.564407
"262",182.619995,185.630005,180.970001,184.320007,1498900,174.275803
"263",184.5,186.759995,183.25,184.380005,1154600,174.332489
"264",183.860001,184.339996,182.289993,183.169998,1668100,173.188446
"265",184.419998,186.509995,183.429993,186.300003,1656900,176.147842
"266",186.789993,187.270004,184.410004,186.009995,1567400,175.873688
"267",184.880005,188.889999,184.660004,188.330002,1932400,178.06723
"268",189,189.949997,186.669998,188.5,1578400,178.227997
"269",188.309998,188.869995,187.059998,188.360001,1247600,178.095627
"270",186.949997,189.550003,186.089996,187,1105800,176.809723
"271",185.009995,185.690002,181.649994,182.660004,2094600,172.706223
"272",183.039993,185.179993,181.970001,182.910004,2195400,172.942596
"273",183.300003,186.649994,181.570007,186.649994,1382700,176.478821
"274",184.289993,184.710007,177.509995,178.740005,2306500,168.999832
"275",177,180.720001,170.330002,171.820007,2425800,162.45694
"276",168.440002,174.5,166.210007,173.949997,2657600,164.470871
"277",181.779999,184.669998,175.649994,176.199997,3635600,166.598267
"278",176.970001,178.960007,169,169.160004,2886000,159.941895
"279",170.720001,171.649994,159.429993,165.050003,2846600,156.055862
"280",168.020004,173.649994,167.360001,171.029999,1981100,161.709991
"281",170.509995,172.720001,169.460007,172.169998,1245800,162.787888
"282",170.699997,180.449997,169.960007,179.5,1690100,169.71843
"283",179.449997,179.910004,174.509995,179.589996,1426400,169.803528
"284",179.110001,180.539993,178.080002,178.789993,1243700,169.047089
"285",179.5,180.649994,177.490005,178.25,980000,168.53656
"286",178.029999,178.880005,174.699997,174.729996,1218400,165.208374
"287",175.960007,179.759995,175,177.410004,1102200,167.742325
"288",178.050003,180.020004,177.380005,180,1402400,170.191162
"289",181.059998,181.380005,178.490005,179.690002,1146600,169.898071
"290",179.330002,180.070007,174.479996,174.669998,1704300,165.151611
"291",175.520004,177.380005,170.210007,170.229996,2113800,160.953583
"292",170.860001,172.410004,166.589996,169.160004,1943100,159.941895
"293",167.630005,169.729996,164.600006,168.889999,1821300,159.6866
"294",168.350006,172.339996,167.800003,171.690002,1527600,162.334045
"295",172.729996,172.800003,169.550003,169.960007,1503500,160.698318
"296",168.399994,171.5,167.080002,170.169998,1911300,160.896851
"297",170.869995,171.850006,167.309998,167.679993,1087600,158.542542
"298",169.649994,171.660004,169.330002,171.529999,1068900,162.182755
"299",171.580002,172.5,169.759995,171.190002,925100,161.861221
"300",172.580002,172.580002,168.710007,169.559998,977400,160.320068
"301",169.839996,170.360001,168.529999,169.039993,868100,159.82843
"302",170.399994,171.169998,165.339996,166.570007,912100,157.493042
"303",166.759995,170.490005,166.520004,169.339996,1290800,160.112061
"304",168.649994,168.690002,165.279999,166.240005,909300,157.181015
"305",167.679993,170.419998,167.089996,169.860001,1200800,160.603745
"306",170.699997,176.580002,170.419998,175.369995,1810000,165.813492
"307",172.990005,174.740005,171.720001,172.339996,997200,162.948608
"308",174.220001,176.979996,172.199997,172.470001,1462100,163.071503
"309",173.839996,176.020004,172.289993,175.570007,1109600,166.002609
"310",176.440002,176.889999,170.619995,171.75,1065200,162.390762
"311",170.990005,171.610001,167.039993,167.520004,1950700,158.53894
"312",168.970001,172.149994,168.479996,171.779999,2533800,162.570572
"313",170.899994,171.639999,163.25,166.910004,1455300,157.96167
"314",167.979996,170.080002,164.699997,169.460007,1167300,160.374954
"315",166.550003,169.350006,164.940002,169.279999,1346100,160.204575
"316",170,174.309998,169.649994,172.429993,1235300,163.185699
"317",171.020004,172.139999,164.610001,168.130005,1617600,159.116272
"318",169.059998,172.649994,168.509995,169.350006,1417200,160.270844
"319",171.729996,179.770004,171.149994,178.320007,2017800,168.759933
"320",177.580002,182.080002,177.130005,181.779999,1644200,172.034439
"321",183.360001,185.039993,180.589996,182.610001,1497400,172.819962
"322",183.520004,188.850006,182.759995,188.320007,1904300,178.223831
"323",190,191.889999,187.119995,191.130005,1549400,180.883163
"324",192,194.729996,190.639999,193.179993,1148000,182.823257
"325",195.320007,196.479996,192.380005,194.449997,1605000,184.025177
"326",194.690002,196.339996,192.550003,195.470001,1321300,184.990479
"327",194.059998,196.199997,192.889999,194.949997,1793400,184.498367
"328",193.839996,197.809998,192.630005,197.350006,1606300,186.769714
"329",197.25,199.679993,194.350006,196.059998,1446800,185.548874
"330",196.149994,199.039993,194.649994,198.899994,1039800,188.236618
